ids,names,artists
30oTS7bm0aH3p7lqjEIu8q,Full Clip,Gang Starr
2g8HN35AnVGIk7B8yMucww,Big Poppa - 2005 Remaster,The Notorious B.I.G.
33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",Mobb Deep
2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,Ice Cube
119c93MHjrDLJTApCVGpvx,C.R.E.A.M.,Wu-Tang Clan
7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,Coolio
7nYvUtkQMx1v80S2FH2s9J,Regulate,Warren G
5XhkV07Vou38wnrzwURUOC,Who Am I (What's My Name)?,Snoop Dogg
3ssX20QT5c3nA9wk78V1LQ,Ambitionz Az A Ridah,2Pac
0dtVSZDRv6PorrnX0cbFT7,Concrete Schoolyard,Jurassic 5
0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,Mos Def
5a4AQWs84xeEyYUd1iC2Pn,I Think They Like Me - Remix,Dem Franchize Boyz
0tLOX3QEuQJtz4FMLxHh10,Damn! - Club Mix,Youngbloodz
2T8hXV9LUZMDBKR5RALGEa,Splash Waterfalls,Ludacris
7d9I42jF759n5HuUeoulzR,Nann Nigga,Trick Daddy
6TQANhh0iV17xMeExcH6qj,They Know (Dey Know),Shawty Lo
6p8R2eD9v5PeoNqSLVD4JX,White Tee,Dem Franchize Boyz
1kEp3Po9RUPm11N5ITOUWx,Pop Bottles - Main,Birdman
2TosX3xYACy6rOe1HGC85K,Wipe Me Down (feat. Foxx),Boosie Badazz
6j2aNuhJJUnRj6UHcvn5PI,I'm a Thug,Trick Daddy
5UiNMzNNDiv2oZlAWVj9el,What You Want - Radio Edit,DMX
5RpSXFipAX2W6zo4HnHScn,Hey Papi - Album Version - Explicit,JAY Z
0uiMSv1iUmIELMFnTmyyKX,Always Strapped,Birdman
4w3ZDXkMmxH6myihUkoY65,My Hood,Jeezy
3XrvEifl0hIzgBGUa5jBLS,Grindin',Clipse
1qddfVuT54bgZqheC9I37j,Money in the Bank (feat. Young Buck),Lil Scrappy
5ASZFbCod633wLragmPYTj,Renegade,JAY Z
4HpCT9jeCzBfpCaF3aTVWX,Get Your Roll On,Big Tymers
1kgDlypHy9hCvCxeoCtd7X,"Can't Stop, Won't Stop",Young Gunz
20Sp7dNLM3NjIu3TInDqjq,What Happened To That Boy,Baby
0wCC06ziWEkYOif44iFggw,O Let's Do It (feat. Cap),Waka Flocka Flame
3vR6ivBSe0SWntHyEzh4X1,Head Bussa (feat. Lil Jon),Lil Scrappy
0UmIdWRGDL5gkXnqG9ZozM,Bonnie & Shyne (feat. Barrington Levy),Shyne
5pkODNs3tEe8DMqjorjR8c,Special Delivery,G. Dep
1ynZEpoQPz0ylGFCUx7l9u,Trap Star,Jeezy
5kDkWHFx0AEvJ1Pfm2i0ac,What We Do,Freeway
0DW5anNzTO7h0OlKqFsVQ6,Like A Pimp,David Banner
0KAGYcaO4BsbRMPMdeUDCS,Round Here,Memphis Bleek
5fst2COuMGJQ7PzSRYGVj5,Make tha Trap Say Aye (feat. Gucci Mane),OJ Da Juiceman
281kNQmgirthnKNA5LHQSs,Presidential,Youngbloodz
7rzbAd8dsYRt2fPcxhPf92,Shyne,Shyne
52gqeRlrBE7hqMlRxEsi6y,Livin' It Up,Ja Rule
7dIxSCWRKv3FXM04FD5ELw,Oh Yeah!,Big Tymers
2R4KCSHfWuYiCMSu9f0nuc,Conceited (There's Something About Remy),Remy Ma
7dltD9eEX7X1zk8JJ9BS0e,Superstar (feat. Matthew Santos),Lupe Fiasco
2SuMoyOaAVBg5AzfKyZaKV,U Don't Know Me,T.I.
4cNhx6OO1XpvwT6xZnb83B,Southern Hospitality (Featuring Pharrell),Ludacris
3z6WOgxwEcfF9mn4crIQaK,This Is How We Do,Big Tymers
79F94Qh0YxlCsQx7mBITxf,I Luv It,Jeezy
1IQPLs3r6lt4iNrQzAhnWs,I Really Mean It,The Diplomats
6M33HiUHLC3R3gfXYNGMAy,Pull Over,Trina
4SyadrABZJIjeND1HPJS31,Rollout (My Business),Ludacris
4aWxp4mBOnWIUDlXb4ngaV,Is That Your Chick (The Lost Verses),Memphis Bleek
06UPCXzhIsXnceSXmKLMEY,Ether,Nas
05iPQqLo3ZCfmQZ1pLmhdj,"Dunn, Dunn",Shawty Lo
0jdkdbnRwNVHJQ6zL84pQs,Young'n,Fabolous
3lcC9CnN7Rpo1ugATzmYjY,Area Codes,Ludacris
21GXHQ6E8JJLj9AhD7ByWX,Roc The Mic,Beanie Sigel
2VqjCBJ4AxpDTrNRKhL0Pw,You Owe Me (feat. Ginuwine),Nas
3y5pef5Z472KoYxaSdig9I,Baby Don't Cry (Keep Ya Head Up II),2Pac
71u5SjnkSQgzIt1UzHchbi,Whoa!,Black Rob
3jagJCUbdqhDSPuxP8cAqF,Work It,Missy Elliott
6QwwsJC57SitPcWuyEpuwd,Neva Eva (feat. Lil Scrappy & Lil Jon),Trillville
2elA6JLRaQ6iB7hxiuTKN4,I Tried,Bone Thugs-N-Harmony
2rQDtzREtofoyhDNYk95jf,They Want EFX,Das EFX
3829CDK1kzOgjRU3nNXqFQ,Diddy (feat. The Neptunes),Diddy
58LflM1owDAzQkYIL7ayCX,Why,Jadakiss
4uNisev7PGUAixBOagpgyY,Gettin' Some,Shawnna
67t2pIIrrdBWFr0u8y4L1b,Beanie (Mack B****),Beanie Sigel
0EXm0iaB0CzqtsB3VaupXj,When the Last Time,Clipse
5qqBsCBwzv0g0xb1kB1TGJ,Off the Books (feat. Big Pun & Cuban Linx),The Beatnuts
6QdVBqkKNUqCqercvUHMkP,Stunt 101,G-Unit
6YYd5MLpu45J0uLrMdivF7,Got Your Money (feat. Kelis),Ol' Dirty Bastard
36gOOIQaBwXZVKL5z2vC3Z,"Lights, Camera, Action!",Mr. Cheeks
7BKi4ZcyMBXeAvJ1OPxhdV,Outta Control - Remix,50 Cent
2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,Snoop Dogg
04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly
03b1NUHnoavfpLLKcEMfIb,Go Getta,Jeezy
2Ozc0me9PV5vlt8cokwdvI,Lean Back,Terror Squad
0AA6zq5ArZ1sSH7VIMi4NK,This Is Why I'm Hot,MiMS
1FKFCvi0i46qEJLZSEBH8p,I Get Money,50 Cent
4rICUbwZZuqUOcgQgtux2k,Feel It In The Air,Beanie Sigel
3MbBa8FMMgp9D39s7Cozl9,"Money, Power & Respect (feat. DMX & Lil' Kim)",The Lox
5EoobjvWYSRwoPnhRojf5c,And Then What,Jeezy
0YImOCkIJ2PWhCXaURCZnY,I Know What You Want (feat. Flipmode Squad),Busta Rhymes
4QKdiLnJ2fnvfLPUldoryF,Saturday (Oooh! Ooooh!),Ludacris
2kNtAwWATYkqV3CdT20RV0,Swagga Like Us (feat. Kanye West & Lil' Wayne),T.I.
5lrOsw7J8R7shum7A4j36t,Pop Champagne - Explicit Album Version,Jim Jones
3frQJotNjIFiYRpvqCuxAB,Bottom Of The Map,Jeezy
58jV4YBV2WpCb00gJfht9a,Down Bottom,Ruff Ryders
2cuVgSUgnRcgXNx909F3TV,Wobble Wobble,504 Boyz
0e7S689mFbBnIWTWtjc4b4,Put You On The Game,The Game
0GQDj6CEJRIKp3E1ClSB6k,Set It Off,Young Gunz
1MYlx4dBtiyjn7K8YSyfzT,The Real Slim Shady,Eminem
28TaYSTqNY96c2oyUyAwwg,"Ryde Or Die, B****",The Lox
5ZKVNTG7yu7gbX4vryqS2X,Nothin',N.O.R.E.
0svl7cK07gK1ia5ainczU5,Break Ya Neck,Busta Rhymes
4psCG36I4hy1h3qgG6o03m,React (feat. Redman),Erick Sermon
0YHI5hydPPth6J5UOzdLDX,Lay Low,Snoop Dogg
7lVNTXkI3cHFvcXiI8damb,I Need a Girl (Pt. One) (feat. Usher & Loon),Diddy
62wtttQzoIA9HnNmGVd9Yq,Two Words,Kanye West
6rpNe6gSkmiYW6BfSFATi5,"Wanksta - From ""8 Mile"" Soundtrack",50 Cent
4anqYZt4APNlFwQixpbdZR,Da Rockwilder,Method Man
3qRPc4QpHGNwKFAzCdqwxA,Made You Look,Nas
2UuYX9gpimgG9woC5cnfV9,Do That... - Main,Baby
30KGtFjHhlT3JMX5s4IklU,Get No Better (feat. Mashonda),Cassidy
3YrVdQ19x8VDexsX7ytwJ2,Umma Do Me,Rocko
