id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,time_signature_0,time_signature_1,time_signature_3,time_signature_4,time_signature_5,SPEECH_musical,SPEECH_speechy
30oTS7bm0aH3p7lqjEIu8q,0.0253,0.877,216596,0.74,2.77e-06,0.286,-5.885,0.271,95.224,0.754,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2g8HN35AnVGIk7B8yMucww,0.432,0.778,252747,0.578,0.0,0.138,-7.22,0.274,84.487,0.758,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
33ZXjLCpiINn8eQIDYEPTD,0.0146,0.763,325507,0.786,0.0114,0.0817,-6.472,0.229,93.857,0.504,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2qOm7ukLyHUXWyR4ZWLwxA,0.321,0.796,260000,0.748,4.94e-05,0.217,-5.409,0.126,82.384,0.802,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
119c93MHjrDLJTApCVGpvx,0.57,0.479,252187,0.549,0.0239,0.127,-10.551,0.373,180.985,0.576,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
7lQWRAjyhTpCWFC0jmclT4,0.0655,0.647,240693,0.514,0.0,0.398,-10.05,0.0593,79.974,0.387,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
7nYvUtkQMx1v80S2FH2s9J,0.29,0.845,248867,0.51,2.39e-06,0.114,-13.064,0.224,95.265,0.74,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
5XhkV07Vou38wnrzwURUOC,0.000136,0.692,246320,0.833,1.98e-05,0.515,-3.974,0.0492,96.814,0.692,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3ssX20QT5c3nA9wk78V1LQ,0.00253,0.801,278387,0.908,0.000655,0.0698,-6.554,0.221,87.279,0.805,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0dtVSZDRv6PorrnX0cbFT7,0.142,0.894,321293,0.625,0.0,0.387,-7.339,0.354,90.121,0.809,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0IVAlb0cFCH1cQ974iR1TU,0.148,0.782,223547,0.589,0.0,0.164,-4.827,0.189,90.438,0.869,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5a4AQWs84xeEyYUd1iC2Pn,0.00447,0.781,282093,0.625,0.0,0.185,-9.139,0.373,83.024,0.679,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0tLOX3QEuQJtz4FMLxHh10,0.0149,0.818,297973,0.711,0.0,0.352,-5.816,0.285,84.03,0.496,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2T8hXV9LUZMDBKR5RALGEa,0.119,0.711,290760,0.843,0.0,0.225,-6.12,0.393,145.989,0.683,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
7d9I42jF759n5HuUeoulzR,0.000507,0.837,167400,0.819,0.0,0.323,-5.245,0.211,149.918,0.643,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
6TQANhh0iV17xMeExcH6qj,0.0895,0.428,198093,0.714,0.0,0.766,-5.574,0.399,110.017,0.678,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
6p8R2eD9v5PeoNqSLVD4JX,0.0072,0.89,280627,0.637,0.0,0.0719,-5.847,0.13,81.015,0.662,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1kEp3Po9RUPm11N5ITOUWx,0.0633,0.476,205133,0.823,0.0,0.624,-5.842,0.442,149.902,0.548,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2TosX3xYACy6rOe1HGC85K,0.000153,0.802,290880,0.81,0.0,0.221,-3.493,0.22,164.998,0.648,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
6j2aNuhJJUnRj6UHcvn5PI,0.0275,0.933,254400,0.562,0.0,0.102,-5.963,0.122,139.981,0.587,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
5UiNMzNNDiv2oZlAWVj9el,0.0697,0.645,248653,0.833,0.0,0.309,-5.695,0.327,167.133,0.717,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5RpSXFipAX2W6zo4HnHScn,0.0483,0.777,268693,0.876,0.000774,0.126,-5.362,0.339,158.041,0.887,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0uiMSv1iUmIELMFnTmyyKX,0.0877,0.603,208293,0.62,3.76e-05,0.0946,-6.454,0.286,82.376,0.411,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
4w3ZDXkMmxH6myihUkoY65,0.0179,0.829,240187,0.679,0.0,0.0431,-7.401,0.075,152.026,0.76,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3XrvEifl0hIzgBGUa5jBLS,0.122,0.592,264760,0.77,1.22e-06,0.103,-3.402,0.318,191.692,0.361,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1qddfVuT54bgZqheC9I37j,0.0704,0.819,240533,0.707,0.0,0.44,-4.976,0.424,75.64,0.716,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5ASZFbCod633wLragmPYTj,0.436,0.646,336133,0.718,1.86e-06,0.173,-4.898,0.412,82.535,0.822,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4HpCT9jeCzBfpCaF3aTVWX,0.0211,0.865,242667,0.703,0.00144,0.0976,-7.877,0.152,88.922,0.434,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1kgDlypHy9hCvCxeoCtd7X,0.00709,0.855,262800,0.788,0.0,0.358,-3.041,0.219,99.992,0.809,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20Sp7dNLM3NjIu3TInDqjq,0.0587,0.631,258067,0.878,0.00021,0.0723,-6.189,0.317,93.307,0.675,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0wCC06ziWEkYOif44iFggw,0.0128,0.682,248533,0.513,0.0,0.212,-6.312,0.396,130.085,0.338,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3vR6ivBSe0SWntHyEzh4X1,0.00166,0.819,236565,0.845,0.0,0.0492,-5.659,0.089,78.02,0.611,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0UmIdWRGDL5gkXnqG9ZozM,0.0363,0.855,257467,0.874,0.0216,0.0869,-4.018,0.21,89.449,0.861,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
5pkODNs3tEe8DMqjorjR8c,0.105,0.75,389867,0.889,3.71e-06,0.368,-5.387,0.274,100.244,0.69,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1ynZEpoQPz0ylGFCUx7l9u,0.00839,0.48,232107,0.775,0.0,0.287,-5.614,0.204,86.076,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5kDkWHFx0AEvJ1Pfm2i0ac,0.00821,0.568,229107,0.893,0.0,0.308,-4.796,0.33,188.84,0.326,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0DW5anNzTO7h0OlKqFsVQ6,0.00487,0.844,254707,0.846,0.0,0.0784,-5.167,0.176,144.079,0.91,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
0KAGYcaO4BsbRMPMdeUDCS,0.000686,0.696,309307,0.546,0.0,0.113,-4.476,0.115,77.532,0.129,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5fst2COuMGJQ7PzSRYGVj5,0.0935,0.814,258747,0.532,0.0,0.0715,-8.415,0.304,151.965,0.504,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
281kNQmgirthnKNA5LHQSs,0.0237,0.682,241120,0.523,0.0,0.18,-9.69,0.335,170.049,0.366,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
7rzbAd8dsYRt2fPcxhPf92,0.125,0.664,270240,0.783,0.0,0.292,-3.564,0.267,85.291,0.43,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
52gqeRlrBE7hqMlRxEsi6y,0.0769,0.874,257067,0.767,0.0,0.0371,-4.046,0.317,106.061,0.646,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
7dIxSCWRKv3FXM04FD5ELw,0.107,0.878,279680,0.764,3.56e-06,0.0846,-4.237,0.153,98.008,0.489,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
